case_id,slice_idx,pseudo_path,confidence_path,probability_path,teacher_threshold,teacher_min_area,pseudo_pixels,confidence_pixels,scribble_pixels,gt_pixels,pseudo_dice_against_gt_for_analysis_only,has_infection
coronacases_002,7,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_labels/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_confidence/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/predictions/teacher_tta_probabilities/coronacases_002_slice_0007.npy,0.05,0,0,65536,0,0,1.0,False
coronacases_002,8,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_labels/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_confidence/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/predictions/teacher_tta_probabilities/coronacases_002_slice_0008.npy,0.05,0,0,65536,0,0,1.0,False
coronacases_002,9,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_labels/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_confidence/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/predictions/teacher_tta_probabilities/coronacases_002_slice_0009.npy,0.05,0,0,65536,0,0,1.0,False
coronacases_002,10,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_labels/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_confidence/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/predictions/teacher_tta_probabilities/coronacases_002_slice_0010.npy,0.05,0,0,65536,0,0,1.0,False
coronacases_002,11,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_labels/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_confidence/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/predictions/teacher_tta_probabilities/coronacases_002_slice_0011.npy,0.05,0,0,65536,0,0,1.0,False
coronacases_002,12,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_labels/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_confidence/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/predictions/teacher_tta_probabilities/coronacases_002_slice_0012.npy,0.05,0,0,65536,0,0,1.0,False
coronacases_002,13,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_labels/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_confidence/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/predictions/teacher_tta_probabilities/coronacases_002_slice_0013.npy,0.05,0,0,65536,0,0,1.0,False
coronacases_002,14,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_labels/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_confidence/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/predictions/teacher_tta_probabilities/coronacases_002_slice_0014.npy,0.05,0,0,65536,0,0,1.0,False
coronacases_002,15,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_labels/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_confidence/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/predictions/teacher_tta_probabilities/coronacases_002_slice_0015.npy,0.05,0,0,65536,0,0,1.0,False
coronacases_002,16,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_labels/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/teacher_tta_confidence/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/predictions/teacher_tta_probabilities/coronacases_002_slice_0016.npy,0.05,0,0,65536,0,0,1.0,False
