case_id,slice_idx,pseudo_path,confidence_path,uncertainty_path,pseudo_pixels,confidence_pixels,scribble_pixels,gt_pixels,pseudo_dice_against_gt_for_analysis_only,has_infection
coronacases_002,7,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0007.npy,0,65536,0,0,1.0,False
coronacases_002,8,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0008.npy,0,65536,0,0,1.0,False
coronacases_002,9,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0009.npy,0,65536,0,0,1.0,False
coronacases_002,10,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0010.npy,0,65536,0,0,1.0,False
coronacases_002,11,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0011.npy,0,65536,0,0,1.0,False
coronacases_002,12,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0012.npy,0,65516,0,0,1.0,False
coronacases_002,13,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0013.npy,0,65411,0,0,1.0,False
coronacases_002,14,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0014.npy,0,65162,0,0,1.0,False
coronacases_002,15,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0015.npy,0,65012,0,0,1.0,False
coronacases_002,16,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0016.npy,0,64855,0,0,1.0,False
coronacases_002,17,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0017.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0017.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0017.npy,0,64564,0,0,1.0,False
coronacases_002,18,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0018.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0018.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0018.npy,0,64399,0,0,1.0,False
coronacases_002,19,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0019.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0019.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0019.npy,0,64220,0,0,1.0,False
coronacases_002,20,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0020.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0020.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0020.npy,0,64021,0,0,1.0,False
coronacases_002,21,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0021.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0021.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0021.npy,58,63813,0,0,1.724137943526216e-09,False
coronacases_002,22,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0022.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0022.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0022.npy,123,63706,0,0,8.130081607937711e-10,False
coronacases_002,23,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0023.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0023.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0023.npy,125,63458,0,0,8.000000106811456e-10,False
coronacases_002,24,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0024.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0024.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0024.npy,46,63155,0,0,2.173913049574594e-09,False
coronacases_002,25,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0025.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0025.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0025.npy,120,62978,4,34,0.07792207598686218,True
coronacases_002,26,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0026.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0026.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0026.npy,201,62823,4,43,0.35245901346206665,True
coronacases_002,27,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0027.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0027.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0027.npy,154,62523,8,123,0.7292418479919434,True
coronacases_002,28,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0028.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0028.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0028.npy,299,62388,4,150,0.583518922328949,True
coronacases_002,29,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_entropy/coronacases_002_slice_0029.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/pseudo_labels/weak_bg_confidence/coronacases_002_slice_0029.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/outputs/uncertainty_maps/weak_bg_entropy/coronacases_002_slice_0029.npy,425,62393,4,171,0.573825478553772,True
