split,filename,source,case_id,slice_idx,teacher_prob_path,image_path,infection_mask_path,scribble_path,prob_min,prob_max,prob_mean,prob_std
train,Jun_coronacases_case10_100.png,Jun,Jun_coronacases_case10,100,outputs_dataset2_covid_lesion/predictions/covid_lesion_teacher_tta_probabilities/train/Jun_coronacases_case10_100_teacher_prob.npy,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_100.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_100.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_100.npy,6.4639652919140644e-06,1.0,0.02608511969447136,0.15324953198432922
train,Jun_coronacases_case10_101.png,Jun,Jun_coronacases_case10,101,outputs_dataset2_covid_lesion/predictions/covid_lesion_teacher_tta_probabilities/train/Jun_coronacases_case10_101_teacher_prob.npy,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_101.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_101.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_101.npy,7.815479875716846e-06,1.0,0.026137590408325195,0.15331469476222992
train,Jun_coronacases_case10_102.png,Jun,Jun_coronacases_case10,102,outputs_dataset2_covid_lesion/predictions/covid_lesion_teacher_tta_probabilities/train/Jun_coronacases_case10_102_teacher_prob.npy,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_102.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_102.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_102.npy,8.324142982019112e-06,1.0,0.026813458651304245,0.1554470658302307
train,Jun_coronacases_case10_103.png,Jun,Jun_coronacases_case10,103,outputs_dataset2_covid_lesion/predictions/covid_lesion_teacher_tta_probabilities/train/Jun_coronacases_case10_103_teacher_prob.npy,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_103.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_103.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_103.npy,8.61164244270185e-06,1.0,0.02754434570670128,0.15748856961727142
train,Jun_coronacases_case10_104.png,Jun,Jun_coronacases_case10,104,outputs_dataset2_covid_lesion/predictions/covid_lesion_teacher_tta_probabilities/train/Jun_coronacases_case10_104_teacher_prob.npy,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_104.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_104.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_104.npy,7.891047062003054e-06,1.0,0.026701340451836586,0.15443027019500732
train,Jun_coronacases_case10_105.png,Jun,Jun_coronacases_case10,105,outputs_dataset2_covid_lesion/predictions/covid_lesion_teacher_tta_probabilities/train/Jun_coronacases_case10_105_teacher_prob.npy,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_105.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_105.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_105.npy,8.161582627508324e-06,1.0,0.0261264368891716,0.1530144363641739
train,Jun_coronacases_case10_106.png,Jun,Jun_coronacases_case10,106,outputs_dataset2_covid_lesion/predictions/covid_lesion_teacher_tta_probabilities/train/Jun_coronacases_case10_106_teacher_prob.npy,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_106.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_106.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_106.npy,8.212743523472454e-06,1.0,0.02651524543762207,0.15446729958057404
train,Jun_coronacases_case10_107.png,Jun,Jun_coronacases_case10,107,outputs_dataset2_covid_lesion/predictions/covid_lesion_teacher_tta_probabilities/train/Jun_coronacases_case10_107_teacher_prob.npy,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_107.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_107.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_107.npy,7.555704542028252e-06,1.0,0.025946088135242462,0.15323075652122498
train,Jun_coronacases_case10_108.png,Jun,Jun_coronacases_case10,108,outputs_dataset2_covid_lesion/predictions/covid_lesion_teacher_tta_probabilities/train/Jun_coronacases_case10_108_teacher_prob.npy,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_108.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_108.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_108.npy,7.479620762751438e-06,1.0,0.02570866234600544,0.15274536609649658
train,Jun_coronacases_case10_109.png,Jun,Jun_coronacases_case10,109,outputs_dataset2_covid_lesion/predictions/covid_lesion_teacher_tta_probabilities/train/Jun_coronacases_case10_109_teacher_prob.npy,data/dataset2_covid_lesion/processed/images/Jun_coronacases_case10_109.npy,data/dataset2_covid_lesion/processed/infection_masks/Jun_coronacases_case10_109.npy,data/dataset2_covid_lesion/scribbles/Jun_coronacases_case10_109.npy,7.4440422395127825e-06,1.0,0.02642708830535412,0.15473207831382751
