case_id,slice_idx,image_prev_path,image_path,image_next_path,infection_mask_path,lung_mask_path,has_lesion
coronacases_002,7,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0007.npy,0
coronacases_002,8,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0007.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0008.npy,0
coronacases_002,9,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0008.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0009.npy,0
coronacases_002,10,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0009.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0010.npy,0
coronacases_002,11,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0010.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0011.npy,0
coronacases_002,12,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0011.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0012.npy,0
coronacases_002,13,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0012.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0013.npy,0
coronacases_002,14,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0013.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0014.npy,0
coronacases_002,15,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0014.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0015.npy,0
coronacases_002,16,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0015.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/images/coronacases_002_slice_0017.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/infection_masks/coronacases_002_slice_0016.npy,/kaggle/working/scribble-uncertainty-lung-segmentation/data/processed/lung_masks/coronacases_002_slice_0016.npy,0
